%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 8
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:AlgorithmCondition,BlockNumber,Trial,CurrentNLevel,LureRate,IsCorrect,StimulusType,StimulusColor,PresentationTime(R),PresentationTime(A),ResponseTime(R),ResponseTime(A),ExpireTime(R),ExpireTime(A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,Gray=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,LessThanN=3,
3,4,14,3,0.3,1,0,4,634.4033,1488304677348,-1,-1,633.9032,1488304676854
3,4,15,3,0.3,1,0,3,637.4374,1488304680383,-1,-1,636.9034,1488304679854
3,4,16,3,0.3,1,2,2,640.5037,1488304683449,-1,-1,639.9702,1488304682921
3,4,17,3,0.3,1,0,0,643.6036,1488304686549,-1,-1,643.0371,1488304685988
3,4,18,3,0.3,1,2,4,646.6371,1488304689582,-1,-1,646.1039,1488304689055
3,4,19,3,0.3,1,1,2,649.6708,1488304692616,650.4708,1488304693416,649.1375,1488304692088
3,4,20,3,0.3,1,1,0,652.7377,1488304695683,653.5376,1488304696483,652.1709,1488304695121
3,4,21,3,0.3,1,0,7,655.8044,1488304698750,-1,-1,655.2378,1488304698188
3,4,22,3,0.3,1,1,2,658.8712,1488304701816,659.7047,1488304702650,658.3046,1488304701255
3,4,23,3,0.3,1,2,7,661.9048,1488304704850,-1,-1,661.3713,1488304704322
3,4,24,3,0.3,1,2,2,664.9716,1488304707917,-1,-1,664.4053,1488304707356
3,4,25,3,0.3,1,1,2,668.0051,1488304710950,668.7721,1488304711718,667.4719,1488304710423
3,4,26,3,0.3,1,2,2,671.0385,1488304713984,-1,-1,670.5052,1488304713456
3,4,27,3,0.3,1,0,6,674.1055,1488304717051,-1,-1,673.5388,1488304716488
