%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 1
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:AlgorithmCondition,BlockNumber,Trial,CurrentNLevel,LureRate,IsCorrect,StimulusType,StimulusColor,PresentationTime(R),PresentationTime(A),ResponseTime(R),ResponseTime(A),ExpireTime(R),ExpireTime(A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,Gray=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,LessThanN=3,
3,2,18,3,0.3,1,2,5,327.7053,1488237262073,-1,-1,327.1397,1488237261513
3,2,19,3,0.3,1,1,2,330.7394,1488237265107,332.2056,1488237266573,330.2055,1488237264581
3,2,20,3,0.3,1,0,1,333.806,1488237268174,-1,-1,333.2405,1488237267612
3,2,21,3,0.3,1,2,1,336.8725,1488237271240,-1,-1,336.3391,1488237270711
3,2,22,3,0.3,1,2,5,339.8731,1488237274241,-1,-1,339.3726,1488237273746
3,2,23,3,0.3,1,0,3,342.9396,1488237277307,-1,-1,342.3738,1488237276746
3,2,24,3,0.3,1,0,4,345.9729,1488237280341,-1,-1,345.4398,1488237279816
3,2,25,3,0.3,1,2,4,349.0065,1488237283374,-1,-1,348.473,1488237282843
3,2,26,3,0.3,1,1,3,352.0732,1488237286441,352.9401,1488237287308,351.507,1488237285880
3,2,27,3,0.3,0,1,4,355.1403,1488237289508,-1,-1,354.5738,1488237288945
3,2,28,3,0.3,1,1,4,358.1736,1488237292541,359.3734,1488237293741,357.6404,1488237292014
3,2,29,3,0.3,0,1,3,361.2073,1488237295575,-1,-1,360.6762,1488237295048
3,2,30,3,0.3,1,2,3,364.274,1488237298642,-1,-1,363.7406,1488237298113
3,2,31,3,0.3,1,1,4,367.3076,1488237301675,368.7076,1488237303075,366.7763,1488237301149
3,2,32,3,0.3,1,1,3,370.341,1488237304709,371.6079,1488237305976,369.8076,1488237304180
3,2,33,3,0.3,1,2,4,373.4079,1488237307775,-1,-1,372.8418,1488237307213
3,2,34,3,0.3,1,0,6,376.4413,1488237310809,-1,-1,375.908,1488237310282
3,2,35,3,0.3,1,2,6,379.4416,1488237313809,-1,-1,378.9415,1488237313316
3,2,36,3,0.3,1,0,2,382.4774,1488237316845,-1,-1,381.9417,1488237316316
3,2,37,3,0.3,1,0,1,385.5753,1488237319943,-1,-1,385.0086,1488237319382
3,2,38,3,0.3,0,1,6,388.6754,1488237323043,-1,-1,388.1096,1488237322482
3,2,39,3,0.3,1,2,6,391.7089,1488237326076,-1,-1,391.1755,1488237325552
3,2,40,3,0.3,0,2,2,394.7758,1488237329143,395.9757,1488237330344,394.2111,1488237328585
3,2,41,3,0.3,1,0,7,397.8092,1488237332177,-1,-1,397.2759,1488237331652
3,2,42,3,0.3,1,0,4,400.8428,1488237335210,-1,-1,400.3094,1488237334686
3,3,0,2,0.3,1,3,1,407.5101,1488237341878,-1,-1,406.9764,1488237341349
3,3,1,2,0.3,1,3,7,410.61,1488237344978,-1,-1,410.0433,1488237344415
3,3,2,2,0.3,1,1,1,413.6768,1488237348044,414.3767,1488237348745,413.1122,1488237347485
3,3,3,2,0.3,1,1,7,416.7436,1488237351111,418.0105,1488237352378,416.1769,1488237350551
3,3,4,2,0.3,1,2,7,419.8118,1488237354179,-1,-1,419.2444,1488237353616
3,3,5,2,0.3,0,2,1,422.9106,1488237357278,423.6107,1488237357979,422.344,1488237356717
3,3,6,2,0.3,1,0,3,425.9131,1488237360281,-1,-1,425.4108,1488237359783
3,3,7,2,0.3,1,0,0,428.9444,1488237363312,-1,-1,428.4442,1488237362816
3,3,8,2,0.3,1,0,2,431.9781,1488237366347,-1,-1,431.4445,1488237365818
3,3,9,2,0.3,1,1,0,435.0446,1488237369412,436.478,1488237370846,434.5112,1488237368884
3,3,10,2,0.3,1,0,4,438.078,1488237372446,-1,-1,437.5447,1488237371920
