%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,7,6,2,1,1,5,1488248834975,1488248835576,1488248834446
6,7,7,2,1,0,6,1488248838042,-1,1488248837511
6,7,8,2,1,2,6,1488248841142,-1,1488248840577
6,7,9,2,1,1,6,1488248844176,1488248844709,1488248843647
6,7,10,2,1,0,3,1488248847243,-1,1488248846680
6,7,11,2,1,2,3,1488248850343,-1,1488248849778
6,7,12,2,1,0,4,1488248853410,-1,1488248852847
6,7,13,2,1,1,3,1488248856510,1488248857244,1488248855948
6,7,14,2,1,1,4,1488248859576,1488248860310,1488248859045
6,7,15,2,1,0,0,1488248862643,-1,1488248862079
6,7,16,2,1,0,5,1488248865710,-1,1488248865147
6,7,17,2,1,2,5,1488248868744,-1,1488248868214
6,7,18,2,1,2,0,1488248871811,-1,1488248871279
6,7,19,2,1,1,5,1488248874844,1488248875445,1488248874313
6,7,20,2,0,2,5,1488248877945,1488248879512,1488248877382
6,7,21,2,1,1,5,1488248881045,1488248882045,1488248880479
6,8,0,3,1,3,7,1488248886245,-1,1488248885715
6,8,1,3,1,3,5,1488248889312,-1,1488248888748
6,8,2,3,1,3,0,1488248892412,-1,1488248891847
6,8,3,3,1,1,7,1488248895479,1488248896879,1488248894914
6,8,4,3,1,1,5,1488248898512,1488248899679,1488248897983
6,8,5,3,1,0,4,1488248901613,-1,1488248901049
6,8,6,3,0,1,7,1488248904679,-1,1488248904147
6,8,7,3,0,0,3,1488248907746,1488248908046,1488248907185
6,8,8,3,1,2,3,1488248910813,-1,1488248910250
6,8,9,3,0,2,3,1488248913913,1488248914980,1488248913350
6,8,10,3,0,2,4,1488248916980,1488248917914,1488248916449
6,8,11,3,1,0,6,1488248920014,-1,1488248919484
6,8,12,3,1,0,7,1488248923114,-1,1488248922551
6,8,13,3,1,1,4,1488248926214,1488248926880,1488248925649
6,8,14,3,1,0,2,1488248929281,-1,1488248928718
6,8,15,3,1,2,2,1488248932348,-1,1488248931785
6,8,16,3,1,1,4,1488248935416,1488248936750,1488248934852
6,8,17,3,1,0,1,1488248938483,-1,1488248937951
6,8,18,3,0,2,4,1488248941517,1488248942484,1488248940988
6,8,19,3,1,0,0,1488248944617,-1,1488248944054
6,8,20,3,1,1,1,1488248947683,1488248948517,1488248947153
6,8,21,3,1,0,3,1488248950751,-1,1488248950188
6,8,22,3,0,2,4,1488248953784,1488248954451,1488248953255
