%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 21
%D2:Action,Row,Character,TimeOfResponse
-1,11,6,1488390191826
2,11,8,1488390192025
1,11,6,1488390192291
1,11,10,1488390193091
1,11,12,1488390193292
1,11,14,1488390193491
1,11,15,1488390193691
1,11,16,1488390193891
1,11,18,1488390194059
1,11,20,1488390194424
1,11,21,1488390194624
1,11,23,1488390195057
1,11,24,1488390195224
1,11,25,1488390195425
1,11,27,1488390195657
1,11,28,1488390196024
1,11,29,1488390196191
1,11,30,1488390196391
1,11,31,1488390196557
1,11,32,1488390196757
1,11,34,1488390196957
2,11,34,1488390197124
1,11,37,1488390197491
1,11,38,1488390197691
1,11,39,1488390197891
1,11,40,1488390198058
1,11,42,1488390198257
2,11,42,1488390198457
1,11,45,1488390198824
1,11,46,1488390199024
1,11,47,1488390199391
-1,11,42,1488390199658
-1,11,42,1488390199858
-1,11,43,1488390200091
-1,11,43,1488390200291
-1,11,43,1488390200491
-1,11,42,1488390200691
-1,11,42,1488390200958
-1,11,42,1488390201091
-1,11,35,1488390201391
-1,11,35,1488390201624
-1,11,34,1488390201791
-1,11,33,1488390202025
-1,11,35,1488390202225
-1,11,36,1488390202391
-1,11,36,1488390202591
-1,11,34,1488390202792
