%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 1
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:AlgorithmCondition,BlockNumber,Trial,CurrentNLevel,LureRate,IsCorrect,StimulusType,StimulusColor,PresentationTime(R),PresentationTime(A),ResponseTime(R),ResponseTime(A),ExpireTime(R),ExpireTime(A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,Gray=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,LessThanN=3,
3,2,42,3,0.3,1,0,6,487.4142,1488312481680,-1,-1,486.8809,1488312481151
3,3,0,2,0.3,1,3,0,502.4819,1488312496747,-1,-1,501.9484,1488312496218
3,3,1,2,0.3,1,3,4,505.5153,1488312499781,-1,-1,504.9825,1488312499253
3,3,2,2,0.3,1,2,4,508.5488,1488312502814,-1,-1,508.0154,1488312502286
3,3,3,2,0.3,1,0,5,511.6155,1488312505881,-1,-1,511.0489,1488312505319
3,3,4,2,0.3,1,1,4,514.6825,1488312508948,515.8158,1488312510082,514.1157,1488312508386
3,3,5,2,0.3,1,0,1,517.7159,1488312511982,-1,-1,517.1832,1488312511453
3,3,6,2,0.3,1,2,1,520.7831,1488312515049,-1,-1,520.2161,1488312514486
3,3,7,2,0.3,1,0,0,523.85,1488312518108,-1,-1,523.3162,1488312517580
3,3,8,2,0.3,1,1,1,526.9164,1488312521161,527.9832,1488312522224,526.3832,1488312520635
3,3,9,2,0.3,1,0,2,529.9501,1488312524183,-1,-1,529.4166,1488312523655
3,3,10,2,0.3,1,0,5,533.0168,1488312527248,-1,-1,532.4833,1488312526719
3,3,11,2,0.3,1,1,2,536.0504,1488312530281,536.8503,1488312531082,535.5175,1488312529753
3,3,12,2,0.3,1,0,6,539.084,1488312533315,-1,-1,538.5504,1488312532786
3,3,13,2,0.3,1,1,2,542.184,1488312536415,542.7175,1488312536949,541.6179,1488312535853
3,3,14,2,0.3,1,0,7,545.1849,1488312539416,-1,-1,544.6841,1488312538919
3,3,15,2,0.3,1,2,6,548.2518,1488312542483,-1,-1,547.7179,1488312541953
3,3,16,2,0.3,0,2,2,551.2845,1488312545516,552.3177,1488312546549,550.7844,1488312545019
3,3,17,2,0.3,1,1,6,554.3515,1488312548583,555.4849,1488312549716,553.8184,1488312548055
3,3,18,2,0.3,1,0,0,557.3517,1488312551583,-1,-1,556.8516,1488312551088
3,3,19,2,0.3,1,2,2,560.3854,1488312554616,-1,-1,559.8849,1488312554120
3,3,20,2,0.3,1,0,5,563.4523,1488312557683,-1,-1,562.9184,1488312557154
3,3,21,2,0.3,1,1,2,566.5187,1488312560750,567.2187,1488312561450,565.9853,1488312560220
3,3,22,2,0.3,1,2,2,569.5854,1488312563816,-1,-1,569.0521,1488312563288
3,3,23,2,0.3,1,0,3,572.619,1488312566850,-1,-1,572.0857,1488312566321
3,3,24,2,0.3,1,2,5,575.6858,1488312569917,-1,-1,575.1194,1488312569357
3,3,25,2,0.3,1,1,3,578.7528,1488312572984,579.5527,1488312573784,578.186,1488312572423
3,3,26,2,0.3,1,0,4,581.8195,1488312576050,-1,-1,581.2535,1488312575489
3,3,27,2,0.3,1,1,3,584.8863,1488312579117,585.3863,1488312579618,584.3198,1488312578555
3,3,28,2,0.3,1,1,4,587.9207,1488312582152,588.5532,1488312582785,587.3865,1488312581621
3,3,29,2,0.3,1,0,5,590.9534,1488312585184,-1,-1,590.4532,1488312584688
3,3,30,2,0.3,1,0,6,594.0212,1488312588252,-1,-1,593.4869,1488312587723
3,3,31,2,0.3,1,0,0,597.1204,1488312591351,-1,-1,596.5537,1488312590789
3,3,32,2,0.3,1,2,4,600.1539,1488312594385,-1,-1,599.6205,1488312593858
3,3,33,2,0.3,1,1,0,603.2207,1488312597452,603.8874,1488312598119,602.6541,1488312596890
3,3,34,2,0.3,1,1,4,606.2543,1488312600485,606.9542,1488312601186,605.7217,1488312599957
